Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,0.05,0.5,-0.26,0.7,0.16,0.85
Ancient History,0.03,1.0,0.23,0.32,0.08,0.39
Baby,0.29,0.78,0.19,0.63,-0.3,1.0
Hobbies,0.22,0.52,0.33,0.96,-0.1,0.91
House,0.05,0.89,-0.05,0.89,0.11,0.82
Train,-0.37,1.0,0.06,0.96,0.07,0.91
Library,0.23,0.82,0.49,0.64,0.19,0.73
Relationship,0.35,0.64,0.21,1.0,0.28,0.89
Phones,0.3,0.48,0.14,0.97,0.1,0.52
Global Warming,-0.12,0.77,-0.01,0.86,0.19,0.45
Food,0.12,0.92,0.03,1.0,0.19,0.93
Music,0.43,1.0,0.17,1.0,0.08,1.0
Environmental Protection,0.13,0.77,-0.26,0.82,0.06,0.52
Social Media,-0.04,0.68,0.2,0.74,-0.04,0.95
Product Reviews,-0.1,0.97,0.23,1.0,0.21,0.97
Legal behaviors,0.04,0.33,0.07,0.92,0.2,0.64
Charity,-0.23,0.78,0.06,0.88,-0.39,0.77
Education,0.1,0.21,0.05,0.46,0.41,0.48
Health,0.21,0.91,-0.01,0.85,0.21,0.97
Religion,0.44,0.54,0.25,0.52,0.09,0.62
