Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.19,0.73,0.17,0.66,-0.21,0.85
Ancient History,-0.29,1.0,-0.25,0.4,-0.22,0.69
Baby,0.0,0.64,-0.2,0.56,-0.19,0.97
Hobbies,-0.15,0.46,0.69,0.73,0.16,0.79
House,-0.16,0.92,-0.12,0.97,-0.05,0.79
Train,-0.23,1.0,0.13,1.0,-0.19,0.91
Library,0.18,1.0,-0.37,1.0,0.03,1.0
Relationship,0.19,0.58,-0.09,0.97,-0.12,0.97
Phones,-0.1,1.0,0.09,0.88,0.08,1.0
Global Warming,0.06,0.72,-0.27,0.93,0.09,0.52
Food,0.2,0.83,-0.07,1.0,0.05,0.92
Music,0.32,1.0,-0.1,0.97,0.18,0.97
Environmental Protection,-0.2,0.81,0.05,0.66,-0.01,0.38
Social Media,-0.29,0.59,0.1,0.68,0.46,0.97
Product Reviews,0.27,1.0,0.01,0.94,0.01,1.0
Legal behaviors,-0.05,0.68,0.01,1.0,-0.17,0.71
Charity,-0.36,0.85,-0.16,0.91,0.11,0.77
Education,0.16,0.38,0.04,0.46,-0.1,0.48
Health,-0.18,0.91,0.01,1.0,0.1,1.0
Religion,0.52,0.33,0.41,0.5,0.14,0.8
