Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,-0.29,0.26,0.57,0.18
Ancient History,0.21,0.67,0.31,0.35
Baby,0.09,0.24,0.38,0.18
Hobbies,-0.32,1.0,-0.17,0.8
House,0.13,0.5,0.21,0.33
Train,0.35,0.46,-0.1,0.66
Library,0.38,0.91,-0.28,1.0
Relationship,-0.36,0.32,0.34,0.59
Phones,-0.23,1.0,-0.01,0.2
Global Warming,-0.17,0.2,0.39,0.15
Food,0.42,0.18,0.36,0.26
Music,0.21,0.27,0.2,0.66
Environmental Protection,0.63,0.23,0.56,0.4
Social Media,-0.09,1.0,0.49,0.22
Product Reviews,0.37,0.35,0.1,0.2
Legal behaviors,0.45,0.33,0.07,0.33
Charity,-0.15,0.38,0.18,0.44
Education,0.66,0.3,0.31,0.46
Health,0.32,0.23,-0.02,0.16
Religion,0.74,0.11,0.3,0.3
