Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,0.61,0.11,0.06,0.57
Ancient History,0.25,0.75,0.69,0.32
Baby,0.22,0.3,-0.1,0.39
Hobbies,0.37,0.18,-0.15,1.0
House,0.15,0.52,0.51,0.4
Train,0.41,0.27,0.34,0.46
Library,0.27,0.4,0.46,0.32
Relationship,0.07,0.27,0.63,0.18
Phones,0.5,0.27,-0.06,0.67
Global Warming,0.43,0.46,-0.51,0.91
Food,0.34,0.18,-0.03,1.0
Music,0.31,0.52,0.26,0.26
Environmental Protection,0.37,0.1,0.11,0.19
Social Media,0.22,0.46,0.65,0.0
Product Reviews,0.4,0.33,-0.12,0.46
Legal behaviors,0.04,0.36,0.34,0.79
Charity,0.61,0.26,0.57,0.32
Education,0.87,0.11,-0.12,0.59
Health,0.35,0.23,0.42,0.18
Religion,0.66,0.33,0.35,0.26
