Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,0.58,0.33,0.56,0.19
Ancient History,-0.06,0.72,0.5,0.22
Baby,0.26,0.58,0.13,0.1
Hobbies,0.65,0.3,-0.13,0.87
House,0.5,0.19,-0.01,0.48
Train,0.44,0.78,0.22,0.83
Library,0.17,0.77,0.28,0.41
Relationship,0.15,0.19,0.26,0.36
Phones,0.79,0.19,0.06,0.77
Global Warming,0.47,0.43,0.12,0.62
Food,0.56,0.75,0.05,0.45
Music,0.18,0.48,0.01,0.33
Environmental Protection,0.59,0.27,0.32,0.46
Social Media,0.06,0.36,0.51,0.21
Product Reviews,0.18,0.36,0.25,0.5
Legal behaviors,0.41,0.21,0.16,0.62
Charity,0.16,0.27,0.33,0.42
Education,0.84,0.0,0.22,0.43
Health,0.85,0.36,0.0,0.1
Religion,0.87,0.21,0.54,0.18
