Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.25,0.71,0.22,0.54,-0.09,0.88
Ancient History,0.39,1.0,0.02,0.12,0.41,0.62
Baby,-0.09,0.81,0.0,0.64,-0.02,0.93
Hobbies,,1.0,0.11,0.58,0.0,1.0
House,0.16,0.89,-0.4,1.0,-0.55,0.75
Train,0.32,1.0,-0.09,1.0,-0.07,1.0
Library,-0.05,1.0,0.13,0.81,0.23,0.94
Relationship,0.13,0.81,0.05,0.94,0.36,1.0
Phones,0.13,0.81,0.05,0.94,-0.18,1.0
Global Warming,0.21,0.93,0.25,0.79,-0.3,0.62
Food,-0.07,0.8,0.0,1.0,0.0,1.0
Music,0.31,1.0,0.07,0.95,0.16,0.95
Environmental Protection,-0.36,0.88,0.07,0.8,-0.19,0.67
Social Media,-0.25,1.0,-0.16,0.67,0.41,0.5
Product Reviews,0.0,1.0,0.09,1.0,-0.11,0.95
Legal behaviors,-0.22,0.73,-0.11,1.0,-0.09,0.62
Charity,0.18,1.0,0.04,0.88,-0.2,0.94
Education,0.33,0.4,0.71,0.45,0.02,0.4
Health,-0.16,0.8,-0.36,1.0,-0.04,1.0
Religion,1.0,0.0,0.24,0.57,0.07,0.79
