Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,-0.08,0.67,-0.1,0.64,0.12,0.6
Ancient History,-0.33,1.0,-0.01,0.23,0.57,0.38
Baby,-0.09,0.65,0.15,0.39,0.01,1.0
Hobbies,-0.14,1.0,-0.22,1.0,-0.1,1.0
House,0.06,0.74,-0.31,1.0,0.2,0.7
Train,-0.21,0.96,0.33,0.89,-0.16,1.0
Library,0.1,0.89,0.17,0.55,0.26,0.88
Relationship,0.01,0.35,-0.4,1.0,0.26,1.0
Phones,-0.33,0.62,0.21,0.96,0.29,0.93
Global Warming,0.22,0.77,0.15,0.68,0.27,0.25
Food,0.33,0.64,-0.01,1.0,-0.1,1.0
Music,0.0,1.0,0.28,1.0,0.45,0.75
Environmental Protection,-0.29,0.55,-0.16,0.78,0.15,0.61
Social Media,0.14,1.0,0.34,0.61,-0.04,0.44
Product Reviews,0.23,1.0,0.11,1.0,-0.1,0.97
Legal behaviors,-0.01,0.73,-0.07,1.0,0.07,0.57
Charity,0.0,0.62,0.14,0.73,-0.38,0.93
Education,0.25,0.38,-0.26,0.2,0.6,0.44
Health,0.03,0.35,0.23,1.0,0.22,1.0
Religion,0.9,0.14,0.49,0.42,-0.03,0.63
