Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,0.92,0.14,0.01,0.57
Ancient History,0.31,0.7,0.82,0.31
Baby,0.23,0.39,-0.12,0.5
Hobbies,0.58,0.12,-0.34,1.0
House,0.14,0.42,0.58,0.33
Train,0.52,0.13,0.52,0.42
Library,0.33,0.24,0.54,0.44
Relationship,0.21,0.13,0.64,0.24
Phones,0.43,0.25,-0.05,0.5
Global Warming,0.39,0.42,-0.37,0.89
Food,0.41,0.24,-0.19,1.0
Music,0.3,0.57,0.31,0.33
Environmental Protection,0.4,0.13,0.14,0.13
Social Media,0.13,0.31,0.64,0.08
Product Reviews,0.45,0.33,-0.2,0.5
Legal behaviors,0.17,0.27,0.24,0.85
Charity,0.75,0.24,0.57,0.2
Education,1.0,0.0,-0.31,0.53
Health,0.48,0.07,0.43,0.33
Religion,0.67,0.38,0.43,0.24
