Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,0.78,0.4,0.8,0.33,0.0,0.89
Ancient History,0.53,1.0,0.56,0.4,0.33,0.86
Baby,-0.2,0.75,0.67,0.67,-0.6,1.0
Hobbies,0.11,0.88,0.53,0.88,0.38,0.83
House,0.0,0.75,-0.8,0.75,0.0,0.75
Train,-0.56,1.0,0.0,1.0,0.27,1.0
Library,0.6,0.75,0.11,0.88,0.6,0.57
Relationship,0.33,0.4,0.11,1.0,0.8,0.75
Phones,1.0,0.0,-0.2,1.0,0.67,0.4
Global Warming,-0.74,0.88,,1.0,-0.44,0.86
Food,0.11,0.88,,1.0,0.53,0.88
Music,0.8,1.0,-0.2,1.0,0.4,1.0
Environmental Protection,0.67,0.67,0.53,0.88,0.25,0.83
Social Media,0.11,0.71,0.53,0.8,-0.4,1.0
Product Reviews,0.2,1.0,0.74,1.0,0.4,1.0
Legal behaviors,-0.89,0.86,0.4,0.89,0.44,0.67
Charity,0.4,1.0,0.11,0.67,-0.32,0.88
Education,1.0,0.0,-0.11,0.0,1.0,0.0
Health,-0.11,0.71,0.2,1.0,0.6,0.89
Religion,0.78,0.4,0.6,0.33,0.5,0.5
